label,n,p,k,temperature,humidity,soil_moisture,soil_type,fertilizer
wheat,44,0,0,24.95,54.7,25.03,Sandy,DAP
ground_nuts,12,35,0,34.84,66.6,26.52,Red,17-17-17
cotton,8,11,13,24.75,49.42,45.06,Clayey,20-20
wheat,9,15,9,34.76,66.83,47.24,Clayey,DAP
maize,3,30,5,34.36,59.48,61.29,Sandy,14-35-14
wheat,6,33,5,33.1,52.18,63.48,Red,20-20
pulses,26,17,0,22.53,60.17,52.65,Loamy,14-35-14
millets,34,0,0,33.29,57.7,37.44,Black,Urea
oil_seeds,10,38,0,26.95,62.85,63.53,Clayey,Urea
wheat,14,16,1,28.76,54.72,37.74,Red,DAP
ground_nuts,10,12,18,26.27,49.13,21.16,Sandy,28-28
paddy,38,1,0,31.58,66.26,59.62,Sandy,DAP
tobacco,37,0,1,25.22,60.2,52.04,Clayey,14-35-14
paddy,8,20,19,33.11,71.83,57.15,Loamy,17-17-17
tobacco,10,6,0,29.94,62.39,35.14,Red,10-26-26
wheat,27,20,2,25.72,60.71,43.46,Clayey,28-28
maize,12,30,11,29.16,50.01,56.58,Clayey,14-35-14
paddy,8,17,0,40.0,74.03,39.34,Loamy,10-26-26
pulses,37,0,3,27.65,55.35,34.36,Black,14-35-14
tobacco,4,28,4,29.72,71.91,52.5,Red,Urea
wheat,13,10,0,28.03,53.76,60.86,Sandy,Urea
maize,25,19,0,29.86,59.28,62.62,Sandy,20-20
oil_seeds,38,0,1,32.86,62.77,31.22,Red,10-26-26
barley,15,39,4,23.9,44.45,32.53,Red,10-26-26
wheat,27,19,0,30.2,57.56,52.01,Loamy,17-17-17
oil_seeds,18,17,3,26.86,61.34,45.62,Black,10-26-26
maize,22,22,3,21.51,55.9,45.54,Clayey,28-28
millets,10,40,0,28.78,66.87,49.42,Clayey,10-26-26
pulses,32,0,0,29.54,54.73,69.41,Loamy,DAP
oil_seeds,26,17,1,35.77,58.62,25.35,Sandy,20-20
ground_nuts,33,0,3,30.85,67.85,27.32,Loamy,20-20
oil_seeds,11,42,0,35.66,68.89,32.88,Red,20-20
paddy,3,17,18,30.37,61.22,43.8,Loamy,Urea
oil_seeds,16,9,3,26.62,66.89,62.01,Red,Urea
ground_nuts,13,36,0,33.88,72.42,32.65,Black,DAP
sugarcane,7,38,0,40.0,79.99,35.61,Loamy,10-26-26
sugarcane,12,33,8,33.2,53.06,64.27,Sandy,14-35-14
millets,34,0,0,27.05,50.17,43.61,Loamy,14-35-14
barley,37,0,2,25.34,51.56,38.67,Clayey,10-26-26
cotton,8,40,1,34.03,61.12,35.57,Clayey,10-26-26
tobacco,20,18,0,27.22,58.67,43.43,Red,14-35-14
millets,42,1,3,24.41,53.52,66.7,Black,14-35-14
maize,12,10,0,30.88,56.44,68.29,Sandy,20-20
ground_nuts,13,37,0,26.62,58.03,23.34,Sandy,20-20
wheat,8,18,0,30.9,68.66,34.94,Clayey,20-20
sugarcane,21,14,2,32.61,63.84,45.4,Black,10-26-26
paddy,36,0,0,25.11,49.18,41.82,Red,DAP
sugarcane,15,38,2,31.05,52.85,37.01,Clayey,17-17-17
sugarcane,21,21,4,29.6,70.57,54.2,Black,14-35-14
oil_seeds,39,0,0,23.25,48.93,24.15,Black,Urea
ground_nuts,35,0,1,27.69,55.28,34.84,Clayey,10-26-26
tobacco,25,16,3,23.33,59.29,45.53,Loamy,20-20
millets,40,0,0,39.91,76.62,45.94,Red,20-20
wheat,10,26,8,27.11,66.09,67.85,Black,20-20
pulses,12,26,11,27.18,59.42,53.2,Clayey,Urea
barley,34,0,0,30.72,62.41,35.53,Sandy,14-35-14
sugarcane,42,0,2,24.51,46.17,65.49,Sandy,10-26-26
millets,17,19,2,35.48,55.43,28.66,Red,10-26-26
tobacco,16,26,0,33.63,71.51,43.87,Loamy,10-26-26
paddy,17,40,0,35.39,65.38,54.92,Sandy,10-26-26
millets,10,43,4,26.3,62.73,20.0,Black,10-26-26
pulses,38,0,1,25.98,51.85,70.0,Black,Urea
barley,12,23,9,28.26,50.41,34.56,Clayey,17-17-17
oil_seeds,16,40,4,35.36,69.36,54.93,Red,14-35-14
maize,22,20,2,37.61,60.54,64.55,Loamy,28-28
paddy,33,0,0,30.21,59.88,47.25,Loamy,Urea
pulses,34,2,2,35.04,69.99,33.2,Black,17-17-17
oil_seeds,4,25,8,30.78,66.91,63.26,Loamy,20-20
millets,12,9,0,30.9,52.93,43.05,Red,14-35-14
ground_nuts,11,39,0,38.8,74.45,38.5,Red,20-20
millets,39,0,0,29.07,73.52,52.71,Loamy,28-28
sugarcane,18,19,2,29.8,52.93,39.95,Black,DAP
sugarcane,39,1,0,33.53,68.45,31.56,Red,17-17-17
wheat,42,0,4,35.43,73.21,53.28,Loamy,10-26-26
cotton,31,0,4,21.05,45.03,70.0,Red,20-20
cotton,39,4,2,27.48,47.09,27.89,Black,Urea
sugarcane,12,34,11,29.54,60.61,54.07,Loamy,DAP
wheat,23,23,0,38.11,69.4,54.47,Black,14-35-14
oil_seeds,24,22,4,28.55,50.92,36.81,Sandy,17-17-17
pulses,12,11,8,35.38,55.86,42.48,Sandy,17-17-17
tobacco,12,11,14,34.35,56.75,61.79,Black,28-28
tobacco,5,16,2,27.07,54.74,36.04,Red,Urea
pulses,9,29,3,40.0,75.03,42.43,Black,17-17-17
millets,13,11,17,26.28,48.37,65.31,Black,10-26-26
sugarcane,34,0,0,36.48,63.87,20.37,Sandy,Urea
millets,11,11,2,36.73,56.57,49.51,Red,10-26-26
tobacco,11,41,1,36.22,63.83,37.08,Red,17-17-17
sugarcane,20,19,0,32.23,54.15,54.33,Red,DAP
cotton,35,0,1,40.0,74.84,47.75,Sandy,14-35-14
ground_nuts,37,0,0,32.17,63.37,31.63,Red,20-20
barley,36,0,0,29.44,50.92,34.24,Loamy,20-20
paddy,10,14,3,25.42,52.97,21.71,Red,17-17-17
sugarcane,7,8,1,29.19,61.81,48.68,Clayey,17-17-17
maize,8,5,2,27.44,54.73,62.9,Clayey,28-28
millets,9,41,3,25.08,66.46,20.54,Clayey,28-28
sugarcane,13,34,0,32.32,58.02,68.23,Sandy,10-26-26
sugarcane,12,18,14,28.86,61.44,55.03,Clayey,20-20
ground_nuts,39,0,0,36.97,72.6,43.87,Sandy,14-35-14
cotton,24,26,1,29.5,69.16,41.62,Loamy,28-28
cotton,7,30,10,31.36,52.48,65.81,Loamy,17-17-17
tobacco,11,16,0,22.06,56.16,61.45,Red,14-35-14
millets,8,39,2,33.36,62.22,24.56,Sandy,10-26-26
millets,13,17,0,28.16,53.4,40.78,Sandy,20-20
wheat,13,41,0,36.49,75.76,26.28,Black,Urea
oil_seeds,12,8,0,37.5,64.03,58.94,Loamy,17-17-17
tobacco,14,38,3,37.31,66.86,70.0,Red,28-28
maize,5,26,8,25.35,50.13,25.76,Red,10-26-26
maize,8,11,0,28.71,64.1,44.78,Loamy,14-35-14
cotton,13,16,14,31.77,65.53,40.43,Black,28-28
millets,19,25,0,30.79,63.59,37.55,Clayey,20-20
ground_nuts,38,3,2,26.02,48.46,37.47,Loamy,28-28
cotton,24,16,2,29.34,72.39,39.94,Red,17-17-17
millets,6,36,0,36.2,58.84,44.43,Clayey,10-26-26
sugarcane,24,28,0,35.97,56.08,39.97,Black,14-35-14
oil_seeds,20,23,0,21.93,47.19,41.85,Loamy,20-20
ground_nuts,12,40,2,36.44,69.49,70.0,Loamy,20-20
oil_seeds,14,36,0,28.5,65.5,63.01,Loamy,Urea
sugarcane,4,15,14,28.75,45.15,32.3,Clayey,20-20
paddy,12,42,1,31.11,63.86,68.38,Loamy,14-35-14
sugarcane,10,43,2,26.43,45.04,30.14,Black,DAP
wheat,35,0,0,29.0,73.39,38.46,Clayey,Urea
paddy,10,37,0,37.55,62.6,24.11,Sandy,10-26-26
barley,33,0,0,26.18,47.19,39.82,Loamy,DAP
paddy,11,26,12,33.14,68.2,49.7,Clayey,17-17-17
cotton,6,10,14,27.37,46.45,46.45,Clayey,DAP
pulses,1,24,4,30.82,56.86,48.67,Black,14-35-14
ground_nuts,43,0,3,31.92,67.01,48.12,Red,28-28
sugarcane,13,30,5,33.98,51.19,32.23,Red,Urea
tobacco,31,0,0,30.01,57.83,61.88,Red,DAP
ground_nuts,6,32,6,28.65,49.45,27.65,Loamy,17-17-17
pulses,35,4,0,23.43,46.91,62.82,Red,Urea
maize,8,19,15,35.77,60.14,36.61,Black,10-26-26
paddy,15,16,14,38.55,58.08,53.88,Loamy,17-17-17
millets,7,32,0,26.71,42.66,48.03,Black,28-28
tobacco,13,37,4,31.59,69.57,52.01,Black,28-28
oil_seeds,9,11,15,29.49,67.11,63.28,Black,28-28
barley,26,18,2,32.29,56.56,63.14,Loamy,10-26-26
oil_seeds,9,30,10,25.89,52.78,32.13,Loamy,10-26-26
pulses,27,18,2,22.39,59.45,42.31,Red,10-26-26
ground_nuts,11,12,0,24.48,64.32,40.94,Clayey,17-17-17
barley,40,0,0,30.09,52.45,34.93,Black,20-20
maize,21,24,0,30.67,44.15,46.13,Loamy,28-28
tobacco,7,29,7,29.46,64.44,26.19,Clayey,28-28
cotton,3,30,9,34.69,71.9,21.7,Loamy,Urea
paddy,9,34,11,24.97,59.67,27.05,Red,Urea
cotton,40,1,0,24.87,56.1,31.14,Sandy,10-26-26
paddy,7,43,4,33.86,62.68,37.06,Loamy,10-26-26
millets,10,24,5,33.35,53.25,64.49,Sandy,28-28
sugarcane,5,32,10,27.73,53.14,25.75,Clayey,28-28
paddy,25,22,0,37.09,56.19,40.03,Loamy,Urea
ground_nuts,38,1,1,26.19,61.82,26.83,Sandy,DAP
millets,15,37,0,24.93,67.58,47.18,Red,20-20
wheat,11,39,2,33.39,71.79,31.6,Black,28-28
maize,11,27,8,32.93,56.53,28.8,Clayey,17-17-17
oil_seeds,13,4,0,28.87,42.05,50.69,Clayey,14-35-14
paddy,20,27,3,36.94,53.17,24.98,Sandy,20-20
cotton,6,11,10,26.55,70.7,64.77,Loamy,DAP
oil_seeds,18,14,9,26.48,49.62,32.7,Sandy,20-20
ground_nuts,36,0,2,35.14,69.23,39.79,Sandy,17-17-17
wheat,18,10,0,30.29,55.55,44.77,Red,20-20
wheat,7,7,0,21.54,43.75,56.74,Clayey,10-26-26
paddy,17,20,0,26.69,61.8,55.35,Sandy,14-35-14
maize,8,25,7,37.94,60.1,56.48,Loamy,17-17-17
tobacco,10,10,3,20.53,53.88,68.8,Red,14-35-14
barley,5,14,4,30.62,46.34,61.19,Black,28-28
sugarcane,7,14,22,24.14,45.84,44.84,Black,20-20
wheat,38,0,0,21.95,59.83,69.07,Sandy,DAP
tobacco,20,19,0,34.26,69.87,24.2,Red,14-35-14
wheat,14,38,0,24.98,67.9,70.0,Loamy,10-26-26
sugarcane,25,20,0,23.0,55.77,37.58,Clayey,17-17-17
cotton,11,15,16,30.49,59.19,51.04,Red,20-20
millets,6,34,0,31.65,69.41,33.59,Sandy,20-20
paddy,36,3,0,30.68,61.61,38.4,Loamy,14-35-14
pulses,16,13,0,22.27,53.67,28.01,Black,10-26-26
paddy,16,10,3,30.65,59.18,52.5,Clayey,20-20
oil_seeds,14,40,0,27.86,59.92,36.56,Loamy,20-20
wheat,28,20,0,31.58,55.46,70.0,Red,DAP
maize,6,21,16,26.73,56.88,29.16,Red,14-35-14
barley,8,6,0,27.32,69.77,41.0,Loamy,10-26-26
paddy,36,2,0,31.49,69.94,50.94,Black,14-35-14
wheat,11,38,1,39.76,50.39,44.02,Red,17-17-17
maize,11,32,5,28.09,68.54,27.88,Red,10-26-26
pulses,9,29,10,33.22,67.49,46.8,Clayey,28-28
maize,35,2,0,33.09,77.6,43.37,Clayey,Urea
millets,11,13,10,27.89,49.02,36.06,Black,DAP
sugarcane,20,26,4,31.17,69.37,43.42,Sandy,20-20
ground_nuts,6,9,0,31.53,56.66,34.79,Clayey,10-26-26
ground_nuts,6,34,4,36.4,62.17,27.49,Loamy,20-20
pulses,13,40,4,35.25,53.22,40.74,Sandy,DAP
sugarcane,36,0,0,29.6,51.91,43.03,Sandy,10-26-26
sugarcane,6,25,7,31.32,65.36,47.86,Black,28-28
barley,25,21,3,32.98,67.67,45.92,Loamy,14-35-14
barley,3,14,0,28.48,49.43,44.67,Sandy,17-17-17
oil_seeds,13,39,0,38.56,74.3,55.08,Black,Urea
wheat,8,29,3,28.02,48.84,51.42,Sandy,28-28
paddy,7,24,21,37.73,70.55,52.64,Black,17-17-17
wheat,21,19,0,27.7,62.14,37.45,Sandy,10-26-26
pulses,35,0,0,28.26,59.17,33.07,Red,28-28
sugarcane,21,23,0,23.32,60.72,41.52,Loamy,Urea
millets,17,21,0,23.39,59.59,32.49,Red,17-17-17
sugarcane,16,9,19,31.91,64.57,48.22,Sandy,28-28
cotton,25,21,0,29.26,60.97,49.42,Red,14-35-14
wheat,8,25,7,26.27,51.6,34.24,Sandy,10-26-26
pulses,26,16,0,32.53,56.56,54.29,Clayey,20-20
barley,6,31,10,25.72,53.66,21.91,Red,28-28
maize,6,23,15,28.01,42.25,31.47,Black,DAP
tobacco,40,0,2,34.74,68.72,29.09,Loamy,DAP
millets,4,12,0,22.55,43.39,55.77,Sandy,Urea
paddy,35,0,4,34.51,66.37,51.86,Black,28-28
wheat,8,8,18,38.69,71.21,50.84,Loamy,Urea
wheat,22,13,0,30.33,52.42,35.68,Sandy,DAP
wheat,8,18,11,28.97,59.55,36.01,Sandy,17-17-17
maize,39,2,0,35.45,70.4,26.6,Loamy,DAP
sugarcane,10,23,16,31.27,70.01,49.6,Red,10-26-26
wheat,7,31,9,23.79,63.74,20.0,Red,17-17-17
millets,9,17,4,31.04,45.07,31.17,Clayey,28-28
pulses,16,14,12,28.78,47.92,40.88,Clayey,28-28
pulses,17,37,3,35.87,54.52,43.39,Loamy,Urea
tobacco,11,15,18,29.98,45.13,41.6,Loamy,10-26-26
oil_seeds,28,18,0,31.61,65.58,41.29,Loamy,14-35-14
pulses,37,0,0,36.29,68.59,62.11,Sandy,14-35-14
paddy,41,0,4,31.74,64.98,31.38,Loamy,10-26-26
maize,38,0,4,24.78,60.16,32.61,Sandy,DAP
maize,15,13,0,32.21,54.41,61.25,Clayey,28-28
cotton,10,30,10,39.02,65.96,31.19,Sandy,DAP
barley,38,0,2,27.01,57.18,41.37,Clayey,28-28
ground_nuts,37,3,2,25.91,59.25,20.86,Clayey,20-20
cotton,40,4,3,29.51,57.2,41.79,Loamy,17-17-17
maize,9,33,9,26.13,52.53,60.62,Sandy,DAP
sugarcane,26,26,0,30.54,60.14,32.76,Clayey,14-35-14
maize,23,22,0,31.78,66.16,38.27,Clayey,20-20
paddy,24,19,0,22.1,52.62,42.41,Black,17-17-17
pulses,8,5,0,28.89,52.69,65.95,Clayey,14-35-14
wheat,7,11,19,23.98,55.96,30.85,Red,Urea
sugarcane,44,0,0,35.61,66.92,54.5,Clayey,DAP
cotton,7,17,19,30.52,54.37,41.46,Loamy,DAP
cotton,13,28,8,31.74,53.09,66.97,Sandy,Urea
paddy,11,42,0,29.78,73.97,57.26,Sandy,Urea
paddy,40,3,0,32.94,74.58,61.13,Clayey,10-26-26
cotton,17,37,2,38.5,58.84,52.22,Black,14-35-14
paddy,14,44,0,40.0,77.51,44.13,Black,17-17-17
sugarcane,2,33,6,31.51,69.17,49.11,Red,17-17-17
maize,11,43,0,31.94,71.92,36.07,Black,17-17-17
millets,12,38,4,36.44,61.1,60.46,Red,14-35-14
maize,46,4,3,31.24,49.93,37.99,Black,17-17-17
oil_seeds,7,28,9,37.02,71.06,58.82,Sandy,20-20
ground_nuts,43,0,2,37.22,61.58,47.35,Loamy,14-35-14
ground_nuts,7,18,21,32.45,68.21,21.16,Sandy,Urea
maize,12,12,0,38.94,73.94,64.07,Red,17-17-17
sugarcane,13,22,9,32.45,52.61,41.79,Loamy,28-28
tobacco,40,0,0,27.9,61.55,43.02,Loamy,28-28
barley,26,17,0,32.41,66.99,33.52,Red,20-20
wheat,13,12,9,37.99,74.34,48.62,Clayey,10-26-26
cotton,10,17,14,25.88,57.09,44.64,Clayey,17-17-17
oil_seeds,42,0,2,30.87,56.76,45.95,Sandy,10-26-26
barley,36,0,4,28.55,43.74,27.1,Clayey,20-20
pulses,6,11,17,31.83,58.92,38.28,Clayey,Urea
tobacco,21,21,1,25.38,60.27,32.65,Black,10-26-26
paddy,13,39,0,33.48,78.42,32.25,Clayey,Urea
oil_seeds,8,10,2,30.79,61.19,66.13,Loamy,17-17-17
paddy,42,0,0,38.37,71.47,41.35,Red,20-20
sugarcane,37,1,0,38.52,65.09,55.29,Black,17-17-17
maize,36,0,0,32.42,57.29,59.35,Red,10-26-26
maize,10,38,0,33.54,62.45,27.73,Black,17-17-17
sugarcane,21,26,0,22.94,55.21,33.2,Black,DAP
ground_nuts,36,4,0,34.64,54.07,30.24,Red,20-20
oil_seeds,10,12,1,27.18,54.31,58.77,Black,14-35-14
millets,42,0,4,36.75,74.17,53.07,Black,28-28
pulses,16,39,0,25.18,55.87,41.76,Sandy,10-26-26
millets,15,41,3,35.59,76.91,52.53,Clayey,17-17-17
pulses,26,27,3,28.46,53.05,34.92,Red,10-26-26
pulses,38,4,0,23.72,61.19,42.73,Red,DAP
cotton,10,40,0,38.08,63.07,27.4,Black,20-20
ground_nuts,25,23,0,32.68,69.24,30.61,Loamy,DAP
millets,9,11,22,27.23,45.13,46.5,Red,14-35-14
tobacco,41,0,0,25.56,62.96,24.11,Clayey,17-17-17
wheat,14,3,0,23.23,56.75,26.54,Clayey,DAP
sugarcane,4,32,10,32.08,56.04,57.99,Sandy,14-35-14
tobacco,8,26,5,33.03,57.81,20.71,Black,10-26-26
oil_seeds,6,34,6,28.27,61.15,25.82,Sandy,17-17-17
cotton,17,39,2,25.2,60.8,40.83,Black,28-28
paddy,34,2,1,32.37,57.03,65.34,Loamy,28-28
sugarcane,21,23,0,32.77,65.31,56.5,Loamy,10-26-26
pulses,8,39,0,27.51,61.14,61.53,Loamy,10-26-26
barley,5,27,9,36.35,64.04,65.28,Black,Urea
ground_nuts,25,18,0,20.36,57.7,38.39,Red,DAP
millets,7,18,15,33.04,52.2,21.85,Clayey,10-26-26
barley,3,26,6,35.94,62.93,28.98,Red,DAP
tobacco,37,0,0,25.69,61.45,23.95,Black,28-28
ground_nuts,36,4,2,27.55,59.01,28.77,Loamy,20-20
ground_nuts,12,38,2,38.84,74.14,70.0,Loamy,20-20
sugarcane,11,10,2,32.3,62.68,41.53,Clayey,10-26-26
barley,35,0,3,34.98,76.76,43.81,Loamy,DAP
pulses,12,35,1,25.16,56.14,61.08,Red,10-26-26
barley,7,14,14,38.09,65.45,47.28,Loamy,17-17-17
pulses,18,15,0,37.0,70.38,34.26,Loamy,Urea
cotton,41,0,4,32.35,63.44,24.13,Red,14-35-14
pulses,24,22,0,32.28,67.55,49.48,Red,28-28
ground_nuts,25,24,0,34.57,53.65,30.56,Sandy,20-20
cotton,8,25,9,32.83,60.9,30.93,Loamy,14-35-14
tobacco,12,7,0,31.17,67.47,56.61,Loamy,DAP
wheat,20,16,0,35.93,63.52,47.76,Clayey,Urea
oil_seeds,11,10,15,35.88,65.43,51.08,Clayey,Urea
ground_nuts,40,4,0,23.9,50.65,40.95,Red,17-17-17
millets,25,20,2,32.3,58.56,36.13,Sandy,20-20
pulses,6,17,16,29.21,68.29,33.86,Black,14-35-14
oil_seeds,8,32,0,34.78,74.96,23.1,Black,28-28
oil_seeds,39,0,0,33.65,59.37,58.73,Sandy,Urea
cotton,13,14,1,28.58,62.64,30.24,Sandy,Urea
maize,8,6,0,30.6,46.79,28.45,Red,14-35-14
pulses,12,31,3,31.13,61.96,56.93,Clayey,17-17-17
pulses,12,16,4,35.66,64.66,38.16,Loamy,10-26-26
barley,40,0,0,38.02,73.39,34.53,Black,17-17-17
tobacco,9,17,11,26.7,42.56,25.82,Red,Urea
ground_nuts,9,12,0,30.06,56.63,49.63,Clayey,10-26-26
cotton,44,0,0,32.38,67.07,45.41,Clayey,14-35-14
millets,24,19,0,30.11,55.41,33.96,Loamy,28-28
paddy,8,14,0,40.0,66.23,24.12,Black,20-20
cotton,23,18,4,28.18,56.88,55.26,Red,14-35-14
cotton,10,32,0,28.93,52.02,34.13,Black,Urea
ground_nuts,7,25,10,32.94,60.02,33.0,Black,DAP
millets,1,28,10,30.05,71.84,55.66,Black,17-17-17
tobacco,10,12,0,30.5,66.54,39.44,Clayey,DAP
ground_nuts,16,37,0,36.14,63.53,29.95,Red,20-20
sugarcane,15,42,0,29.07,58.16,32.93,Clayey,Urea
sugarcane,38,2,1,34.84,63.19,45.19,Red,10-26-26
millets,37,0,4,34.61,67.29,36.72,Loamy,Urea
maize,36,0,3,26.2,53.65,56.71,Sandy,14-35-14
wheat,12,10,0,33.91,63.82,41.45,Black,14-35-14
wheat,38,0,2,34.79,61.91,46.9,Clayey,10-26-26
millets,37,4,0,26.74,57.16,20.0,Clayey,17-17-17
millets,4,18,0,32.91,56.48,45.87,Black,Urea
cotton,14,6,3,24.06,65.78,58.11,Red,28-28
paddy,10,29,3,33.94,69.64,41.55,Loamy,17-17-17
pulses,17,32,2,27.16,54.78,41.9,Black,Urea
sugarcane,14,13,14,35.04,69.13,59.45,Black,10-26-26
pulses,24,21,0,26.78,53.14,37.57,Black,Urea
pulses,3,37,9,26.4,65.11,55.15,Black,Urea
cotton,16,8,0,30.74,54.35,61.21,Sandy,20-20
sugarcane,21,23,0,36.75,59.8,37.97,Black,17-17-17
pulses,15,30,4,25.11,48.12,62.98,Loamy,10-26-26
pulses,38,1,2,38.91,64.93,39.42,Sandy,DAP
pulses,28,20,4,26.05,58.12,35.26,Black,20-20
maize,13,36,0,34.2,64.85,39.67,Clayey,10-26-26
oil_seeds,35,1,3,28.76,50.58,38.28,Loamy,17-17-17
barley,12,28,12,34.06,71.7,43.15,Red,28-28
ground_nuts,11,27,13,26.51,56.57,20.0,Sandy,DAP
maize,3,24,15,21.36,56.53,34.78,Black,28-28
paddy,7,24,8,28.11,45.27,48.25,Sandy,Urea
pulses,38,3,0,22.72,44.19,24.65,Black,14-35-14
millets,21,18,3,22.54,52.75,31.79,Red,DAP
cotton,24,22,0,24.5,42.83,57.23,Loamy,Urea
ground_nuts,14,23,19,34.26,72.48,43.81,Clayey,17-17-17
ground_nuts,13,39,1,36.19,77.04,57.3,Black,DAP
maize,14,13,0,21.14,58.75,31.2,Loamy,DAP
millets,14,36,0,24.28,50.9,34.64,Loamy,17-17-17
millets,18,43,0,25.06,56.22,22.4,Sandy,17-17-17
barley,5,16,1,30.21,50.79,37.79,Clayey,Urea
tobacco,37,1,0,30.32,58.2,37.68,Loamy,20-20
ground_nuts,8,33,0,35.17,60.97,34.42,Black,17-17-17
barley,8,11,1,29.63,58.39,64.42,Sandy,28-28
millets,38,0,0,31.41,50.97,45.98,Sandy,14-35-14
tobacco,15,37,0,34.17,71.47,70.0,Loamy,10-26-26
tobacco,37,3,1,38.62,65.2,36.37,Sandy,10-26-26
sugarcane,12,35,5,32.84,66.47,69.01,Red,Urea
maize,7,9,16,30.87,74.24,62.38,Clayey,14-35-14
sugarcane,41,3,0,26.02,52.58,39.77,Red,14-35-14
wheat,13,11,3,31.0,64.07,51.2,Black,28-28
pulses,20,18,2,30.47,58.88,38.22,Red,17-17-17
millets,36,0,0,30.33,54.91,37.16,Black,Urea
wheat,43,0,0,24.62,63.54,33.9,Loamy,Urea
cotton,6,29,11,34.5,61.62,61.48,Red,28-28
sugarcane,13,24,12,34.45,61.44,70.0,Red,DAP
barley,34,3,0,28.91,60.07,39.93,Black,20-20
oil_seeds,41,2,4,31.57,53.14,20.33,Sandy,10-26-26
millets,32,0,0,26.19,63.76,35.68,Red,28-28
millets,8,14,6,25.14,48.37,28.64,Black,14-35-14
maize,9,36,0,38.41,74.99,25.39,Black,Urea
millets,12,37,0,29.57,70.26,37.15,Red,14-35-14
oil_seeds,24,18,0,33.72,54.21,47.29,Red,DAP
pulses,13,39,1,33.3,57.9,57.26,Black,17-17-17
wheat,36,0,3,29.6,58.3,44.4,Clayey,20-20
sugarcane,40,3,2,27.83,60.88,29.59,Red,14-35-14
millets,17,39,0,24.31,49.48,27.55,Red,17-17-17
cotton,35,0,1,31.77,46.28,45.72,Red,17-17-17
barley,10,22,13,28.65,59.24,40.45,Clayey,28-28
cotton,9,29,13,30.23,72.24,57.55,Red,17-17-17
paddy,17,10,4,23.86,56.94,45.96,Black,14-35-14
cotton,0,10,15,24.03,59.41,55.3,Sandy,14-35-14
ground_nuts,22,22,4,32.86,54.42,41.19,Red,DAP
barley,1,13,13,31.58,60.79,41.51,Sandy,14-35-14
tobacco,5,17,11,29.38,67.36,40.79,Black,14-35-14
maize,45,0,0,34.45,66.86,35.97,Black,Urea
tobacco,22,18,0,29.34,42.41,44.03,Clayey,Urea
pulses,14,18,1,40.0,62.24,42.28,Loamy,14-35-14
ground_nuts,23,13,1,31.51,63.07,38.77,Loamy,Urea
sugarcane,32,0,1,27.67,45.92,36.55,Loamy,20-20
ground_nuts,44,0,1,28.12,45.77,43.16,Sandy,17-17-17
maize,19,21,4,30.04,45.43,37.77,Black,10-26-26
wheat,16,42,3,28.79,73.96,35.13,Clayey,DAP
maize,11,16,13,31.74,63.18,24.75,Loamy,10-26-26
wheat,22,20,1,36.76,59.74,39.36,Black,17-17-17
pulses,6,7,0,26.29,47.4,68.32,Black,14-35-14
sugarcane,3,20,14,25.37,50.94,25.52,Black,14-35-14
barley,8,42,0,25.49,59.63,68.9,Red,28-28
pulses,39,0,0,28.88,55.01,36.26,Red,10-26-26
oil_seeds,18,41,3,34.53,58.86,52.25,Black,17-17-17
sugarcane,10,38,0,29.73,44.95,36.64,Clayey,Urea
ground_nuts,17,43,0,30.05,59.14,39.13,Red,20-20
oil_seeds,41,0,2,30.67,61.01,35.65,Clayey,17-17-17
sugarcane,9,35,2,24.3,53.62,60.71,Clayey,10-26-26
wheat,27,15,0,37.7,56.61,57.93,Loamy,10-26-26
ground_nuts,9,21,11,27.09,48.1,39.39,Clayey,Urea
sugarcane,33,2,0,28.02,43.47,37.43,Black,28-28
millets,21,19,1,34.62,64.2,39.87,Sandy,28-28
millets,11,36,3,33.0,72.49,26.85,Loamy,20-20
wheat,33,2,0,37.48,74.71,50.16,Sandy,10-26-26
paddy,42,0,4,40.0,80.0,55.43,Clayey,DAP
sugarcane,17,39,0,33.47,62.71,36.43,Loamy,Urea
pulses,17,21,0,24.91,47.48,32.77,Black,17-17-17
maize,41,0,1,30.89,57.6,53.41,Sandy,28-28
tobacco,24,14,0,25.22,53.11,39.07,Red,20-20
sugarcane,17,38,0,30.68,66.46,37.19,Red,17-17-17
millets,12,32,11,27.33,64.51,61.53,Sandy,20-20
ground_nuts,13,6,4,29.96,54.53,67.99,Black,20-20
sugarcane,4,14,15,32.99,50.56,44.4,Clayey,14-35-14
oil_seeds,15,41,0,36.5,76.58,69.11,Sandy,14-35-14
paddy,9,8,3,24.59,51.79,70.0,Black,28-28
wheat,14,7,0,28.14,64.83,42.85,Loamy,17-17-17
millets,18,17,4,31.92,57.22,51.32,Black,Urea
oil_seeds,34,1,0,36.21,57.4,64.18,Black,28-28
paddy,27,20,0,29.54,58.68,37.33,Black,28-28
sugarcane,8,8,0,37.62,54.26,47.98,Red,17-17-17
cotton,11,12,1,23.0,53.85,26.32,Clayey,Urea
paddy,33,0,3,33.55,58.99,28.88,Loamy,20-20
barley,5,13,16,25.2,54.36,56.57,Black,14-35-14
millets,40,0,0,28.1,57.31,69.25,Sandy,10-26-26
oil_seeds,7,32,9,26.32,61.03,28.0,Black,20-20
barley,11,28,4,36.26,72.92,70.0,Red,17-17-17
cotton,4,26,7,36.08,67.07,39.77,Loamy,28-28
ground_nuts,45,0,0,26.61,51.72,36.01,Red,28-28
