label,n,p,k,ph,temperature,rainfall,humidity,soil_type
pepper,111,6,53,6.31,26.49,46.06,88.59,loamy clay 
yam,27,40,24,7.06,27.84,52.85,90.0,loamy
guinea_corn,6,18,37,5.94,19.66,108.05,89.94,sandy loam
maize,99,56,17,6.23,24.11,71.08,73.13,sandy loam
soybean,44,59,78,7.6,20.68,84.78,19.85,loamy
rice,93,56,42,7.38,23.86,195.09,82.23,clay
soybean,39,58,85,6.0,17.89,68.55,15.41,loamy
beans,27,56,20,5.54,19.26,94.95,20.51,clay
yam,23,39,22,6.86,29.26,42.02,81.98,loamy
rice,69,37,42,7.07,23.06,251.05,83.37,clay
tomatoes,82,26,47,6.57,28.5,24.2,93.47,sandy loam
orange,26,27,10,6.08,28.07,114.13,92.91,loamy
guinea_corn,0,17,42,6.86,23.2,109.09,91.19,sandy loam
guinea_corn,8,28,38,6.84,23.23,105.69,94.43,sandy loam
rice,76,40,43,5.07,25.16,231.38,83.12,clay
yam,22,54,20,6.69,28.56,41.01,83.64,loamy
orange,26,11,11,7.61,13.7,106.29,90.96,loamy
cassava,27,64,21,7.54,32.84,73.67,68.68,sandy loam
beans,25,70,16,5.76,19.63,106.36,18.91,clay
orange,5,23,15,7.41,25.67,112.54,92.05,loamy
orange,32,18,13,6.04,13.84,107.99,91.75,loamy
maize,86,37,16,5.56,20.52,67.61,59.21,sandy loam
beans,11,61,21,5.53,18.62,135.34,23.02,clay
rice,77,38,36,5.95,21.87,224.56,80.19,clay
guinea_corn,20,7,45,6.08,18.91,112.48,89.24,sandy loam
yam,20,45,22,6.9,29.59,54.96,89.99,loamy
maize,99,36,20,6.67,20.58,78.35,65.35,sandy loam
soybean,40,58,75,6.17,18.59,89.61,14.78,loamy
soybean,26,80,83,7.53,17.08,71.31,16.15,loamy
soybean,59,62,83,8.1,18.58,72.95,19.22,loamy
tomatoes,83,11,53,6.16,29.54,21.97,92.92,sandy loam
guinea_corn,8,23,38,7.01,19.3,105.48,87.18,sandy loam
tomatoes,96,13,55,6.7,29.53,21.14,94.57,sandy loam
pepper,97,8,52,6.24,24.91,49.49,86.97,loamy clay 
tomatoes,109,26,45,6.22,28.28,21.59,90.39,sandy loam
yam,14,37,15,6.58,27.96,48.94,83.98,loamy
tomatoes,88,17,52,6.65,29.9,25.38,90.75,sandy loam
cassava,42,58,25,6.51,27.46,69.46,62.9,sandy loam
orange,4,13,6,7.56,15.63,101.47,94.26,loamy
guinea_corn,22,26,38,6.99,22.92,110.24,85.13,sandy loam
orange,22,17,5,6.95,24.12,102.84,90.72,loamy
beans,22,60,24,5.63,18.78,104.26,20.25,clay
guinea_corn,5,21,38,6.11,22.43,112.46,90.34,sandy loam
beans,25,70,16,5.76,19.63,106.36,18.91,clay
pepper,114,8,50,6.58,24.75,57.96,88.31,loamy clay 
beans,26,65,22,5.95,17.85,143.1,18.78,clay
beans,31,75,18,5.82,15.47,88.89,21.44,clay
guinea_corn,13,17,45,7.16,21.25,106.28,92.65,sandy loam
orange,34,11,10,7.36,31.75,115.2,94.6,loamy
maize,65,60,22,6.61,25.37,107.91,72.52,sandy loam
beans,3,77,25,5.61,24.85,62.21,22.89,clay
beans,25,70,16,5.76,19.63,106.36,18.91,clay
maize,76,44,17,5.86,20.42,65.28,62.55,sandy loam
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
rice,93,56,36,6.98,24.01,185.28,82.06,clay
soybean,42,74,83,7.55,19.26,65.78,14.28,loamy
yam,0,49,18,6.99,29.68,41.82,87.94,loamy
orange,11,14,5,6.95,11.5,115.57,94.89,loamy
soybean,53,73,77,7.33,19.71,73.64,18.1,loamy
tomatoes,82,18,48,6.16,29.1,26.71,94.17,sandy loam
cassava,52,70,16,7.53,33.67,67.33,66.6,sandy loam
soybean,28,58,81,6.18,17.48,93.35,16.54,loamy
pepper,111,6,53,6.31,26.49,46.06,88.59,loamy clay 
orange,37,6,13,7.51,26.03,101.28,91.51,loamy
guinea_corn,4,20,41,6.54,24.27,104.54,93.8,sandy loam
beans,27,56,22,5.83,19.92,108.64,20.7,clay
guinea_corn,13,7,43,7.01,18.2,109.66,91.12,sandy loam
guinea_corn,8,25,36,6.83,19.91,104.03,94.95,sandy loam
yam,27,40,24,7.06,27.84,52.85,90.0,loamy
cassava,35,64,15,6.5,28.47,69.53,63.54,sandy loam
soybean,20,79,77,7.65,18.55,76.33,16.03,loamy
tomatoes,82,20,54,6.54,29.34,21.45,90.02,sandy loam
maize,78,58,15,6.53,25.01,62.91,67.82,sandy loam
pepper,102,14,52,6.51,26.79,57.74,89.65,loamy clay 
cassava,44,63,15,7.34,26.42,63.47,64.51,sandy loam
soybean,60,61,78,6.32,20.71,94.04,19.84,loamy
soybean,52,68,78,6.9,17.49,86.05,16.96,loamy
cassava,21,63,22,6.86,25.1,74.62,67.73,sandy loam
maize,84,57,25,6.49,22.54,64.41,67.99,sandy loam
orange,39,24,14,7.19,30.55,106.07,90.9,loamy
soybean,30,70,79,7.31,20.27,69.64,19.97,loamy
rice,83,58,45,5.88,25.76,245.66,83.52,clay
cassava,53,74,15,7.52,29.43,72.18,64.94,sandy loam
orange,24,30,11,6.6,32.4,113.25,94.52,loamy
soybean,51,72,75,7.1,18.89,80.11,14.99,loamy
tomatoes,98,26,52,6.15,27.34,28.69,90.7,sandy loam
beans,27,80,15,5.79,19.07,86.22,21.21,clay
beans,25,57,19,5.57,17.15,88.0,19.87,clay
pepper,101,17,55,6.45,24.37,44.64,87.13,loamy clay 
yam,37,49,25,6.42,29.91,41.39,85.85,loamy
tomatoes,118,12,47,6.01,27.97,28.95,92.17,sandy loam
tomatoes,96,13,55,6.7,29.53,21.14,94.57,sandy loam
tomatoes,116,25,50,6.09,29.26,28.71,92.92,sandy loam
yam,8,54,20,7.03,28.33,38.8,80.77,loamy
tomatoes,107,11,54,6.09,28.59,29.44,91.34,sandy loam
orange,20,29,10,7.37,29.07,100.79,93.27,loamy
soybean,39,76,76,6.14,19.97,69.16,15.57,loamy
tomatoes,84,29,49,6.25,29.94,20.39,93.91,sandy loam
soybean,20,79,77,7.65,18.55,76.33,16.03,loamy
rice,65,37,40,5.33,23.36,188.41,83.6,clay
orange,27,30,5,7.66,32.72,113.33,90.55,loamy
rice,77,36,37,6.14,26.88,194.58,81.46,clay
orange,22,17,5,6.95,24.12,102.84,90.72,loamy
yam,33,37,19,7.18,27.93,43.48,86.55,loamy
pepper,102,14,52,6.51,26.79,57.74,89.65,loamy clay 
soybean,39,58,85,6.0,17.89,68.55,15.41,loamy
beans,25,70,16,5.76,19.63,106.36,18.91,clay
pepper,92,7,48,6.96,26.28,54.39,86.63,loamy clay 
yam,13,47,20,6.54,29.22,43.14,87.94,loamy
rice,79,42,37,6.59,24.87,295.61,82.84,clay
soybean,26,80,83,7.53,17.08,71.31,16.15,loamy
maize,74,43,23,6.33,25.95,99.58,61.89,sandy loam
tomatoes,120,8,46,6.73,29.56,28.37,90.71,sandy loam
soybean,43,79,79,7.81,19.41,80.25,18.98,loamy
guinea_corn,32,13,42,5.79,23.5,106.62,92.98,sandy loam
beans,2,61,20,5.96,22.14,76.64,23.02,clay
orange,7,17,10,6.47,10.16,106.36,91.22,loamy
beans,27,56,22,5.83,19.92,108.64,20.7,clay
pepper,97,22,50,6.77,26.26,58.98,86.15,loamy clay 
cassava,57,60,17,7.5,26.24,73.59,67.89,sandy loam
cassava,49,76,18,7.39,27.05,60.47,67.7,sandy loam
maize,74,55,19,6.29,18.05,84.24,62.89,sandy loam
orange,32,18,13,6.04,13.84,107.99,91.75,loamy
guinea_corn,39,17,45,6.92,18.1,104.88,90.42,sandy loam
yam,28,46,16,6.66,29.01,45.91,84.96,loamy
rice,98,47,37,7.38,23.48,224.06,81.33,clay
beans,10,55,23,5.73,21.19,137.19,19.63,clay
tomatoes,100,6,53,6.11,29.05,23.67,93.92,sandy loam
pepper,99,5,47,6.65,24.13,51.19,84.84,loamy clay 
guinea_corn,21,23,42,6.9,19.54,104.37,90.3,sandy loam
beans,40,73,20,5.81,21.59,61.14,20.32,clay
maize,61,38,20,5.97,18.48,65.44,62.7,sandy loam
maize,87,54,20,6.58,25.62,108.83,63.47,sandy loam
beans,2,61,20,5.96,22.14,76.64,23.02,clay
beans,21,63,17,5.98,15.77,108.34,19.23,clay
rice,82,40,40,6.27,23.83,298.56,84.81,clay
tomatoes,101,25,52,6.75,29.1,22.52,94.22,sandy loam
beans,19,65,25,5.63,18.1,144.79,18.29,clay
rice,84,50,44,5.94,25.49,182.65,81.41,clay
yam,13,47,20,6.54,29.22,43.14,87.94,loamy
beans,13,69,19,5.86,17.31,115.2,20.02,clay
rice,99,55,35,6.5,21.72,277.96,80.24,clay
pepper,95,16,55,6.61,25.27,40.13,87.55,loamy clay 
maize,80,43,16,6.66,23.56,66.72,71.59,sandy loam
maize,78,37,22,6.33,25.34,74.52,63.32,sandy loam
beans,14,67,22,5.62,23.83,84.64,24.75,clay
pepper,83,22,54,6.28,25.9,54.5,81.97,loamy clay 
guinea_corn,23,30,44,6.12,20.94,103.03,85.43,sandy loam
orange,20,23,11,6.41,31.85,109.95,90.12,loamy
guinea_corn,23,5,44,7.16,21.21,107.57,94.26,sandy loam
cassava,42,58,25,6.51,27.46,69.46,62.9,sandy loam
beans,37,56,25,5.77,22.06,126.73,19.6,clay
orange,27,13,6,7.34,13.36,111.23,91.36,loamy
beans,20,69,15,5.93,23.44,107.41,22.77,clay
tomatoes,106,16,54,6.59,28.96,24.75,91.7,sandy loam
guinea_corn,14,5,36,5.83,24.93,104.77,85.19,sandy loam
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
orange,13,23,6,7.37,23.96,102.7,90.26,loamy
beans,16,75,21,5.68,18.51,87.05,23.62,clay
maize,92,60,23,5.72,18.67,69.93,71.52,sandy loam
pepper,85,27,45,6.47,26.07,57.8,88.73,loamy clay 
soybean,54,61,77,6.21,18.81,77.54,15.22,loamy
yam,1,59,23,7.18,27.47,43.78,87.18,loamy
beans,17,64,17,5.66,21.02,124.61,24.94,clay
yam,20,40,15,7.2,29.57,45.04,88.08,loamy
rice,83,41,43,6.25,21.05,233.11,82.68,clay
rice,67,43,39,6.0,26.04,186.75,84.97,clay
maize,68,41,16,6.16,21.78,102.09,57.81,sandy loam
rice,67,45,38,7.3,22.73,260.89,82.17,clay
rice,83,41,43,6.25,21.05,233.11,82.68,clay
pepper,85,22,53,6.85,25.97,59.46,89.77,loamy clay 
soybean,27,79,82,6.31,17.07,70.87,17.54,loamy
tomatoes,113,20,48,6.44,27.47,27.28,94.88,sandy loam
tomatoes,107,11,54,6.09,28.59,29.44,91.34,sandy loam
beans,35,69,23,5.58,16.79,75.45,24.97,clay
orange,16,7,8,6.42,22.79,116.51,90.61,loamy
soybean,24,55,78,6.65,17.3,75.58,15.15,loamy
beans,17,57,21,5.79,19.88,60.92,20.32,clay
tomatoes,107,22,54,6.63,28.0,21.62,90.85,sandy loam
beans,34,60,22,5.64,17.66,100.67,18.15,clay
guinea_corn,8,23,44,7.13,18.47,108.48,89.69,sandy loam
maize,61,44,17,6.93,26.1,102.27,71.57,sandy loam
beans,9,80,19,5.95,21.81,125.1,18.57,clay
pepper,109,21,55,6.77,24.9,57.45,89.74,loamy clay 
guinea_corn,29,22,40,6.15,23.63,107.68,89.73,sandy loam
guinea_corn,40,18,43,5.77,19.39,109.91,86.79,sandy loam
beans,13,69,19,5.86,17.31,115.2,20.02,clay
guinea_corn,11,10,45,6.4,22.63,109.04,88.46,sandy loam
beans,37,56,25,5.77,22.06,126.73,19.6,clay
maize,76,39,24,7.0,24.25,64.24,55.65,sandy loam
tomatoes,107,22,54,6.63,28.0,21.62,90.85,sandy loam
pepper,97,25,50,6.09,26.22,49.09,80.9,loamy clay 
cassava,56,75,15,7.15,30.2,66.37,60.07,sandy loam
beans,20,69,15,5.93,23.44,107.41,22.77,clay
pepper,81,18,50,6.51,26.44,47.82,80.92,loamy clay 
tomatoes,115,17,55,6.78,27.58,28.08,94.12,sandy loam
orange,5,23,15,7.41,25.67,112.54,92.05,loamy
orange,17,16,14,6.63,16.4,102.94,92.18,loamy
beans,19,78,16,5.97,20.65,67.72,23.11,clay
orange,12,6,8,6.39,30.85,107.41,92.87,loamy
rice,76,49,42,5.21,24.96,196.96,84.48,clay
soybean,24,55,78,6.65,17.3,75.58,15.15,loamy
cassava,27,62,24,7.35,28.63,62.27,66.77,sandy loam
beans,22,71,17,5.51,18.15,107.69,19.39,clay
orange,24,18,6,6.29,26.57,116.38,94.45,loamy
guinea_corn,9,16,36,5.89,23.78,106.98,92.93,sandy loam
rice,82,40,40,6.27,23.83,298.56,84.81,clay
pepper,85,25,47,6.3,26.11,58.48,87.64,loamy clay 
beans,27,63,19,5.56,20.93,133.19,21.19,clay
guinea_corn,36,7,37,5.78,19.87,108.32,86.36,sandy loam
rice,75,38,39,6.22,23.45,283.93,84.79,clay
guinea_corn,4,20,41,6.54,24.27,104.54,93.8,sandy loam
soybean,23,72,84,6.92,19.02,79.93,17.13,loamy
cassava,27,62,24,7.35,28.63,62.27,66.77,sandy loam
guinea_corn,11,18,42,5.94,21.58,102.86,94.88,sandy loam
maize,99,50,15,5.57,18.15,88.08,71.09,sandy loam
beans,5,59,15,5.97,18.87,134.18,20.18,clay
maize,77,36,23,6.65,24.71,88.45,56.73,sandy loam
tomatoes,110,15,48,6.21,28.58,27.6,92.87,sandy loam
soybean,37,55,82,6.42,19.46,78.45,18.02,loamy
soybean,42,62,75,7.01,18.18,81.85,18.9,loamy
yam,29,36,25,7.13,28.29,48.57,88.44,loamy
rice,79,43,39,7.06,21.67,210.81,80.71,clay
cassava,27,60,17,7.03,26.42,64.42,63.65,sandy loam
cassava,28,68,19,7.7,34.64,72.43,61.39,sandy loam
guinea_corn,25,27,41,6.92,19.2,108.04,94.28,sandy loam
beans,30,63,16,5.53,23.61,100.6,21.91,clay
beans,17,77,24,5.57,20.77,109.02,18.93,clay
maize,89,60,17,5.98,25.38,101.7,57.21,sandy loam
soybean,39,76,76,6.14,19.97,69.16,15.57,loamy
orange,0,18,14,7.21,29.77,114.42,92.01,loamy
yam,39,37,15,6.82,29.0,59.84,83.79,loamy
pepper,83,9,45,6.05,25.85,46.85,89.13,loamy clay 
pepper,95,12,46,6.32,26.22,54.65,81.01,loamy clay 
tomatoes,95,13,46,6.13,29.84,23.28,93.76,sandy loam
yam,40,58,15,6.98,29.46,43.15,87.61,loamy
yam,36,43,22,6.39,27.83,58.37,87.17,loamy
tomatoes,113,20,48,6.44,27.47,27.28,94.88,sandy loam
cassava,23,57,19,7.25,32.84,73.4,68.0,sandy loam
maize,60,57,24,6.12,18.66,75.03,61.55,sandy loam
orange,22,17,5,6.95,24.12,102.84,90.72,loamy
yam,21,38,21,6.64,29.76,37.55,86.45,loamy
tomatoes,98,7,45,6.16,27.79,26.85,92.51,sandy loam
guinea_corn,11,10,45,6.4,22.63,109.04,88.46,sandy loam
soybean,58,70,84,6.23,20.65,74.66,16.61,loamy
cassava,43,68,20,7.5,29.58,69.44,66.18,sandy loam
rice,76,49,42,5.21,24.96,196.96,84.48,clay
beans,3,77,25,5.61,24.85,62.21,22.89,clay
beans,0,55,22,5.92,22.99,143.86,20.58,clay
maize,88,38,15,6.46,25.08,62.49,65.92,sandy loam
soybean,39,71,84,8.14,20.28,82.52,16.4,loamy
maize,61,59,17,6.47,23.34,105.01,59.25,sandy loam
tomatoes,98,7,45,6.16,27.79,26.85,92.51,sandy loam
orange,20,8,12,7.26,25.3,117.97,94.96,loamy
rice,72,40,38,7.59,20.41,245.15,82.21,clay
soybean,36,65,80,6.05,18.29,74.87,16.68,loamy
soybean,59,69,80,8.17,19.08,69.41,17.87,loamy
guinea_corn,0,5,36,6.15,24.35,105.53,90.89,sandy loam
soybean,53,65,76,6.72,20.19,77.34,16.42,loamy
pepper,108,23,51,6.11,26.84,40.23,83.85,loamy clay 
beans,13,60,25,5.69,17.14,128.26,20.61,clay
maize,79,59,17,6.64,20.38,108.51,63.74,sandy loam
orange,8,16,6,7.11,12.23,108.42,90.26,loamy
beans,37,56,25,5.77,22.06,126.73,19.6,clay
pepper,105,30,50,6.38,25.3,57.04,81.78,loamy clay 
tomatoes,114,30,51,6.07,29.25,25.93,90.07,sandy loam
soybean,24,55,78,6.65,17.3,75.58,15.15,loamy
orange,7,16,9,7.81,18.88,114.67,92.04,loamy
yam,14,48,21,6.99,29.25,53.43,84.8,loamy
pepper,89,22,52,6.22,24.9,53.15,86.11,loamy clay 
beans,12,61,19,5.66,19.33,68.51,24.14,clay
guinea_corn,39,30,38,6.97,20.13,108.07,87.6,sandy loam
pepper,104,17,46,6.19,25.71,43.09,80.23,loamy clay 
maize,79,45,20,5.72,23.81,89.96,59.25,sandy loam
guinea_corn,32,13,42,5.79,23.5,106.62,92.98,sandy loam
tomatoes,95,21,47,6.43,27.93,20.66,93.56,sandy loam
soybean,46,76,77,6.97,18.24,83.75,19.69,loamy
beans,23,59,19,5.85,21.99,129.57,24.87,clay
yam,19,35,24,6.88,27.11,49.12,83.64,loamy
pepper,91,7,52,6.41,25.08,56.4,83.46,loamy clay 
beans,25,63,20,5.5,15.79,95.17,21.15,clay
yam,4,40,21,6.73,28.8,44.3,80.46,loamy
cassava,60,59,22,7.19,31.87,74.22,66.74,sandy loam
soybean,42,74,83,7.55,19.26,65.78,14.28,loamy
maize,77,52,17,5.71,24.86,75.82,65.74,sandy loam
yam,30,44,16,6.44,29.73,50.92,82.89,loamy
rice,89,45,36,6.44,21.33,185.5,80.47,clay
orange,0,18,14,7.21,29.77,114.42,92.01,loamy
maize,99,36,20,6.67,20.58,78.35,65.35,sandy loam
cassava,40,68,17,7.73,34.13,70.41,65.15,sandy loam
pepper,104,23,47,6.77,26.98,42.91,86.7,loamy clay 
orange,0,23,15,7.6,22.57,109.86,93.37,loamy
cassava,53,74,15,7.52,29.43,72.18,64.94,sandy loam
yam,31,58,15,7.12,27.11,51.53,84.97,loamy
rice,71,46,40,7.24,20.28,191.95,82.12,clay
soybean,23,62,85,8.49,18.97,80.71,19.52,loamy
yam,27,40,24,7.06,27.84,52.85,90.0,loamy
guinea_corn,3,26,39,7.08,24.38,103.6,91.19,sandy loam
pepper,119,25,51,6.28,26.47,53.66,80.92,loamy clay 
orange,12,6,8,6.39,30.85,107.41,92.87,loamy
soybean,43,68,81,6.76,17.48,78.92,17.93,loamy
soybean,43,68,81,6.76,17.48,78.92,17.93,loamy
maize,94,50,19,5.87,23.3,97.59,73.63,sandy loam
orange,31,5,14,6.58,17.67,110.69,91.7,loamy
cassava,25,65,21,6.88,33.86,69.24,68.59,sandy loam
beans,27,56,20,5.54,19.26,94.95,20.51,clay
cassava,44,77,21,7.33,32.64,61.84,61.3,sandy loam
beans,40,78,20,5.67,19.19,80.15,20.83,clay
rice,60,49,44,6.24,20.78,240.08,84.5,clay
maize,84,44,21,5.85,21.87,107.27,61.91,sandy loam
pepper,109,10,53,6.55,26.82,46.06,87.83,loamy clay 
guinea_corn,5,29,44,5.58,21.02,104.78,93.06,sandy loam
orange,25,21,11,6.46,32.24,104.71,90.15,loamy
pepper,95,12,51,6.68,25.76,44.22,84.17,loamy clay 
pepper,80,16,46,6.94,25.5,48.48,81.4,loamy clay 
rice,60,48,39,7.04,24.28,231.09,80.3,clay
guinea_corn,14,5,36,5.83,24.93,104.77,85.19,sandy loam
rice,76,40,43,5.07,25.16,231.38,83.12,clay
orange,37,6,13,7.51,26.03,101.28,91.51,loamy
beans,22,80,20,5.67,23.01,100.12,18.87,clay
yam,30,44,16,6.44,29.73,50.92,82.89,loamy
pepper,110,21,54,6.75,26.74,47.46,87.82,loamy clay 
yam,23,39,22,6.86,29.26,42.02,81.98,loamy
yam,31,53,16,6.45,28.74,48.55,85.82,loamy
cassava,33,77,21,7.01,30.33,71.65,65.63,sandy loam
maize,83,45,21,5.72,18.83,79.75,58.75,sandy loam
orange,26,27,10,6.08,28.07,114.13,92.91,loamy
guinea_corn,39,17,45,6.92,18.1,104.88,90.42,sandy loam
tomatoes,85,9,53,6.45,28.21,28.79,92.87,sandy loam
soybean,32,60,83,8.83,19.69,91.76,19.44,loamy
guinea_corn,22,23,44,6.14,20.13,107.34,89.32,sandy loam
yam,31,40,22,6.37,29.41,53.35,86.16,loamy
beans,40,78,20,5.67,19.19,80.15,20.83,clay
guinea_corn,40,30,35,6.27,20.89,104.44,91.08,sandy loam
rice,66,60,38,6.37,22.09,231.74,83.47,clay
beans,7,79,23,5.82,19.64,96.66,19.69,clay
pepper,82,25,51,6.07,24.31,48.11,87.47,loamy clay 
beans,1,62,23,5.61,15.44,139.03,18.37,clay
beans,22,70,19,5.52,18.24,69.45,21.08,clay
yam,23,59,25,6.32,27.83,56.69,88.73,loamy
maize,99,50,15,5.57,18.15,88.08,71.09,sandy loam
tomatoes,113,20,48,6.44,27.47,27.28,94.88,sandy loam
guinea_corn,30,20,38,7.06,22.6,110.09,93.16,sandy loam
maize,72,60,25,5.77,18.53,88.1,69.03,sandy loam
pepper,108,23,51,6.11,26.84,40.23,83.85,loamy clay 
yam,28,46,16,6.66,29.01,45.91,84.96,loamy
soybean,38,60,76,8.87,18.65,77.93,17.81,loamy
soybean,35,63,76,6.71,17.82,90.82,17.61,loamy
rice,68,57,43,5.71,26.09,182.9,80.38,clay
pepper,104,17,46,6.19,25.71,43.09,80.23,loamy clay 
beans,23,59,19,5.85,21.99,129.57,24.87,clay
tomatoes,91,13,47,6.14,29.11,27.96,92.44,sandy loam
pepper,104,23,47,6.77,26.98,42.91,86.7,loamy clay 
soybean,60,68,83,6.62,19.12,85.53,18.43,loamy
tomatoes,84,29,49,6.25,29.94,20.39,93.91,sandy loam
pepper,82,23,49,6.87,26.81,51.7,87.22,loamy clay 
tomatoes,85,21,47,6.19,29.87,24.7,90.61,sandy loam
tomatoes,87,21,52,6.07,27.35,27.21,94.29,sandy loam
pepper,90,16,45,6.29,24.92,50.56,80.62,loamy clay 
guinea_corn,3,27,44,6.59,24.57,110.96,92.03,sandy loam
orange,18,12,8,6.21,12.59,119.39,91.82,loamy
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
tomatoes,118,18,52,6.56,28.05,20.76,90.83,sandy loam
pepper,80,26,55,6.14,24.53,49.12,88.99,loamy clay 
orange,21,29,12,6.44,22.3,117.37,92.16,loamy
beans,37,65,16,5.68,22.84,63.59,18.97,clay
pepper,100,10,53,6.21,24.54,42.01,84.61,loamy clay 
yam,14,57,15,6.62,29.88,40.12,83.15,loamy
guinea_corn,29,22,40,6.15,23.63,107.68,89.73,sandy loam
pepper,119,19,55,6.82,25.19,46.87,83.45,loamy clay 
beans,32,79,15,5.71,23.91,81.6,20.75,clay
soybean,39,58,85,6.0,17.89,68.55,15.41,loamy
tomatoes,114,27,48,6.53,27.82,26.32,93.04,sandy loam
beans,27,80,15,5.79,19.07,86.22,21.21,clay
orange,4,13,6,7.56,15.63,101.47,94.26,loamy
yam,23,39,22,6.86,29.26,42.02,81.98,loamy
guinea_corn,21,21,38,6.33,22.55,104.9,89.33,sandy loam
soybean,22,64,82,6.47,19.49,87.51,17.17,loamy
soybean,28,72,84,6.48,18.73,71.58,19.18,loamy
soybean,51,72,75,7.1,18.89,80.11,14.99,loamy
tomatoes,99,6,46,6.4,28.61,28.99,94.22,sandy loam
orange,28,7,9,6.73,34.59,115.57,92.13,loamy
guinea_corn,36,24,41,7.01,24.94,103.88,94.26,sandy loam
pepper,96,18,50,6.9,25.33,41.53,84.31,loamy clay 
rice,89,54,38,6.69,24.52,230.45,83.54,clay
beans,12,78,23,6.0,16.07,88.07,18.72,clay
tomatoes,95,16,46,6.75,27.08,24.45,90.14,sandy loam
rice,82,43,38,5.11,23.29,242.32,81.43,clay
cassava,53,74,15,7.52,29.43,72.18,64.94,sandy loam
soybean,57,56,78,6.86,17.34,67.95,18.76,loamy
guinea_corn,4,20,41,6.54,24.27,104.54,93.8,sandy loam
guinea_corn,4,19,43,5.78,18.07,106.36,93.15,sandy loam
cassava,58,61,15,7.4,30.95,62.79,64.23,sandy loam
pepper,107,5,52,6.88,26.66,57.41,89.98,loamy clay 
rice,88,46,42,6.6,22.68,194.27,83.46,clay
soybean,30,65,82,6.11,20.71,76.78,15.28,loamy
cassava,33,80,22,6.59,28.57,70.09,65.72,sandy loam
beans,7,56,18,5.7,18.31,76.14,24.33,clay
orange,20,8,12,7.26,25.3,117.97,94.96,loamy
orange,28,7,9,6.73,34.59,115.57,92.13,loamy
orange,20,20,10,6.98,11.87,106.06,93.68,loamy
pepper,82,23,49,6.87,26.81,51.7,87.22,loamy clay 
guinea_corn,29,16,36,5.74,19.81,102.86,88.93,sandy loam
guinea_corn,5,13,37,5.65,22.34,103.32,89.79,sandy loam
yam,36,38,15,6.32,28.36,58.0,87.6,loamy
orange,10,5,5,7.82,21.21,112.98,91.35,loamy
beans,1,62,23,5.61,15.44,139.03,18.37,clay
guinea_corn,37,11,36,6.71,24.25,106.92,85.56,sandy loam
orange,7,20,12,6.48,16.53,110.04,94.77,loamy
beans,32,57,18,5.7,15.54,107.39,23.76,clay
yam,5,45,21,6.49,28.36,43.05,88.01,loamy
guinea_corn,9,8,40,6.55,22.49,111.66,89.92,sandy loam
cassava,29,63,17,7.26,30.03,66.47,67.89,sandy loam
rice,83,58,45,5.88,25.76,245.66,83.52,clay
soybean,54,62,80,7.49,17.49,79.46,16.39,loamy
soybean,42,67,77,6.11,18.99,78.71,15.94,loamy
pepper,84,25,52,6.13,24.37,44.21,81.25,loamy clay 
orange,14,22,9,6.54,17.25,112.51,91.14,loamy
guinea_corn,29,16,36,5.74,19.81,102.86,88.93,sandy loam
yam,19,55,20,7.19,27.43,54.73,87.81,loamy
rice,81,53,42,5.18,23.68,233.7,81.04,clay
orange,31,26,9,7.57,11.7,103.2,93.26,loamy
pepper,120,24,47,6.26,26.99,58.55,89.41,loamy clay 
yam,13,57,25,6.86,28.3,50.47,86.21,loamy
guinea_corn,9,8,40,6.55,22.49,111.66,89.92,sandy loam
beans,9,69,20,5.59,19.31,129.34,23.96,clay
pepper,101,17,55,6.45,24.37,44.64,87.13,loamy clay 
cassava,47,63,16,6.66,27.44,72.51,67.1,sandy loam
guinea_corn,29,22,40,6.15,23.63,107.68,89.73,sandy loam
soybean,57,58,77,7.98,18.73,81.2,17.58,loamy
guinea_corn,39,25,36,5.57,18.9,107.61,95.0,sandy loam
orange,27,30,5,7.66,32.72,113.33,90.55,loamy
soybean,25,68,77,7.7,20.09,85.75,15.11,loamy
maize,61,38,20,5.97,18.48,65.44,62.7,sandy loam
tomatoes,117,19,55,6.12,28.8,25.16,91.78,sandy loam
soybean,43,79,79,7.81,19.41,80.25,18.98,loamy
beans,24,67,22,5.62,20.12,104.63,22.9,clay
pepper,81,18,50,6.51,26.44,47.82,80.92,loamy clay 
guinea_corn,19,17,39,6.73,24.72,111.28,85.56,sandy loam
cassava,20,68,17,6.58,30.12,71.73,60.12,sandy loam
orange,29,11,5,7.64,23.13,104.42,91.95,loamy
tomatoes,120,23,55,6.73,27.84,26.48,91.61,sandy loam
pepper,98,8,51,6.26,26.18,49.43,86.52,loamy clay 
guinea_corn,9,25,41,5.97,24.82,109.29,91.91,sandy loam
rice,61,52,41,6.88,24.98,204.8,83.89,clay
orange,14,22,9,6.54,17.25,112.51,91.14,loamy
pepper,90,16,45,6.29,24.92,50.56,80.62,loamy clay 
tomatoes,87,21,52,6.07,27.35,27.21,94.29,sandy loam
orange,15,14,8,6.22,10.01,119.39,90.22,loamy
guinea_corn,6,18,37,5.94,19.66,108.05,89.94,sandy loam
pepper,100,10,53,6.21,24.54,42.01,84.61,loamy clay 
pepper,95,16,55,6.61,25.27,40.13,87.55,loamy clay 
